Current Angles: 0.680, 0.680; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.627, -0.017453292519943295 rad on alpha: 0.591, +0.017453292519943295 rad on beta: 0.627, -0.017453292519943295 rad on beta: 0.591; Robot choose: +0.017453292519943295 rad on alpha with Utility Value: 0.627; Distance: 0.355; Predicted Coordinates: (x=1.544, y=1.271)
Current Angles: 1.113, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.406, -0.017453292519943295 rad on alpha: -0.389, +0.017453292519943295 rad on beta: -0.405, -0.017453292519943295 rad on beta: -0.390; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.389; Distance: 2.092; Predicted Coordinates: (x=0.754, y=1.844)
Current Angles: 1.095, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.397, -0.017453292519943295 rad on alpha: -0.381, +0.017453292519943295 rad on beta: -0.396, -0.017453292519943295 rad on beta: -0.382; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.381; Distance: 2.077; Predicted Coordinates: (x=0.769, y=1.836)
Current Angles: 1.078, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.389, -0.017453292519943295 rad on alpha: -0.372, +0.017453292519943295 rad on beta: -0.388, -0.017453292519943295 rad on beta: -0.374; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.372; Distance: 2.061; Predicted Coordinates: (x=0.785, y=1.828)
Current Angles: 1.061, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.381, -0.017453292519943295 rad on alpha: -0.364, +0.017453292519943295 rad on beta: -0.380, -0.017453292519943295 rad on beta: -0.365; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.364; Distance: 2.045; Predicted Coordinates: (x=0.800, y=1.819)
Current Angles: 1.043, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.372, -0.017453292519943295 rad on alpha: -0.355, +0.017453292519943295 rad on beta: -0.371, -0.017453292519943295 rad on beta: -0.357; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.355; Distance: 2.030; Predicted Coordinates: (x=0.815, y=1.810)
Current Angles: 1.026, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.364, -0.017453292519943295 rad on alpha: -0.347, +0.017453292519943295 rad on beta: -0.363, -0.017453292519943295 rad on beta: -0.348; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.347; Distance: 2.014; Predicted Coordinates: (x=0.830, y=1.801)
Current Angles: 1.008, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.355, -0.017453292519943295 rad on alpha: -0.338, +0.017453292519943295 rad on beta: -0.354, -0.017453292519943295 rad on beta: -0.340; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.338; Distance: 1.998; Predicted Coordinates: (x=0.844, y=1.792)
Current Angles: 0.991, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.347, -0.017453292519943295 rad on alpha: -0.329, +0.017453292519943295 rad on beta: -0.345, -0.017453292519943295 rad on beta: -0.331; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.329; Distance: 1.981; Predicted Coordinates: (x=0.859, y=1.782)
Current Angles: 0.973, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.338, -0.017453292519943295 rad on alpha: -0.321, +0.017453292519943295 rad on beta: -0.336, -0.017453292519943295 rad on beta: -0.322; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.321; Distance: 1.965; Predicted Coordinates: (x=0.873, y=1.772)
Current Angles: 0.956, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.329, -0.017453292519943295 rad on alpha: -0.312, +0.017453292519943295 rad on beta: -0.328, -0.017453292519943295 rad on beta: -0.314; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.312; Distance: 1.949; Predicted Coordinates: (x=0.887, y=1.762)
Current Angles: 0.938, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.321, -0.017453292519943295 rad on alpha: -0.303, +0.017453292519943295 rad on beta: -0.319, -0.017453292519943295 rad on beta: -0.305; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.303; Distance: 1.932; Predicted Coordinates: (x=0.901, y=1.751)
Current Angles: 0.921, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.312, -0.017453292519943295 rad on alpha: -0.294, +0.017453292519943295 rad on beta: -0.310, -0.017453292519943295 rad on beta: -0.296; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.294; Distance: 1.916; Predicted Coordinates: (x=0.915, y=1.741)
Current Angles: 0.903, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.303, -0.017453292519943295 rad on alpha: -0.285, +0.017453292519943295 rad on beta: -0.301, -0.017453292519943295 rad on beta: -0.287; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.285; Distance: 1.899; Predicted Coordinates: (x=0.929, y=1.730)
Current Angles: 0.886, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.294, -0.017453292519943295 rad on alpha: -0.276, +0.017453292519943295 rad on beta: -0.292, -0.017453292519943295 rad on beta: -0.278; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.276; Distance: 1.883; Predicted Coordinates: (x=0.942, y=1.719)
Current Angles: 0.869, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.285, -0.017453292519943295 rad on alpha: -0.267, +0.017453292519943295 rad on beta: -0.283, -0.017453292519943295 rad on beta: -0.269; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.267; Distance: 1.866; Predicted Coordinates: (x=0.955, y=1.707)
Current Angles: 0.851, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.276, -0.017453292519943295 rad on alpha: -0.258, +0.017453292519943295 rad on beta: -0.274, -0.017453292519943295 rad on beta: -0.260; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.258; Distance: 1.849; Predicted Coordinates: (x=0.968, y=1.696)
Current Angles: 0.834, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.267, -0.017453292519943295 rad on alpha: -0.248, +0.017453292519943295 rad on beta: -0.264, -0.017453292519943295 rad on beta: -0.251; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.248; Distance: 1.832; Predicted Coordinates: (x=0.981, y=1.684)
Current Angles: 0.816, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.258, -0.017453292519943295 rad on alpha: -0.239, +0.017453292519943295 rad on beta: -0.255, -0.017453292519943295 rad on beta: -0.242; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.239; Distance: 1.815; Predicted Coordinates: (x=0.994, y=1.672)
Current Angles: 0.799, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.248, -0.017453292519943295 rad on alpha: -0.230, +0.017453292519943295 rad on beta: -0.246, -0.017453292519943295 rad on beta: -0.232; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.230; Distance: 1.798; Predicted Coordinates: (x=1.006, y=1.659)
Current Angles: 0.781, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.239, -0.017453292519943295 rad on alpha: -0.221, +0.017453292519943295 rad on beta: -0.237, -0.017453292519943295 rad on beta: -0.223; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.221; Distance: 1.781; Predicted Coordinates: (x=1.018, y=1.647)
Current Angles: 0.764, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.230, -0.017453292519943295 rad on alpha: -0.211, +0.017453292519943295 rad on beta: -0.227, -0.017453292519943295 rad on beta: -0.214; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.211; Distance: 1.764; Predicted Coordinates: (x=1.030, y=1.634)
Current Angles: 0.746, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.221, -0.017453292519943295 rad on alpha: -0.202, +0.017453292519943295 rad on beta: -0.218, -0.017453292519943295 rad on beta: -0.204; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.202; Distance: 1.747; Predicted Coordinates: (x=1.042, y=1.621)
Current Angles: 0.729, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.211, -0.017453292519943295 rad on alpha: -0.192, +0.017453292519943295 rad on beta: -0.208, -0.017453292519943295 rad on beta: -0.195; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.192; Distance: 1.730; Predicted Coordinates: (x=1.054, y=1.608)
Current Angles: 0.711, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.202, -0.017453292519943295 rad on alpha: -0.183, +0.017453292519943295 rad on beta: -0.199, -0.017453292519943295 rad on beta: -0.185; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.183; Distance: 1.713; Predicted Coordinates: (x=1.065, y=1.595)
Current Angles: 0.694, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.192, -0.017453292519943295 rad on alpha: -0.173, +0.017453292519943295 rad on beta: -0.189, -0.017453292519943295 rad on beta: -0.176; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.173; Distance: 1.695; Predicted Coordinates: (x=1.076, y=1.581)
Current Angles: 0.677, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.183, -0.017453292519943295 rad on alpha: -0.164, +0.017453292519943295 rad on beta: -0.180, -0.017453292519943295 rad on beta: -0.166; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.164; Distance: 1.678; Predicted Coordinates: (x=1.087, y=1.568)
Current Angles: 0.659, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.173, -0.017453292519943295 rad on alpha: -0.154, +0.017453292519943295 rad on beta: -0.170, -0.017453292519943295 rad on beta: -0.157; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.154; Distance: 1.661; Predicted Coordinates: (x=1.097, y=1.554)
Current Angles: 0.642, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.164, -0.017453292519943295 rad on alpha: -0.144, +0.017453292519943295 rad on beta: -0.161, -0.017453292519943295 rad on beta: -0.147; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.144; Distance: 1.643; Predicted Coordinates: (x=1.108, y=1.540)
Current Angles: 0.624, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.154, -0.017453292519943295 rad on alpha: -0.135, +0.017453292519943295 rad on beta: -0.151, -0.017453292519943295 rad on beta: -0.138; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.135; Distance: 1.626; Predicted Coordinates: (x=1.118, y=1.525)
Current Angles: 0.607, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.144, -0.017453292519943295 rad on alpha: -0.125, +0.017453292519943295 rad on beta: -0.141, -0.017453292519943295 rad on beta: -0.128; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.125; Distance: 1.608; Predicted Coordinates: (x=1.128, y=1.511)
Current Angles: 0.589, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.135, -0.017453292519943295 rad on alpha: -0.115, +0.017453292519943295 rad on beta: -0.131, -0.017453292519943295 rad on beta: -0.118; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.115; Distance: 1.591; Predicted Coordinates: (x=1.137, y=1.496)
Current Angles: 0.572, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.125, -0.017453292519943295 rad on alpha: -0.105, +0.017453292519943295 rad on beta: -0.122, -0.017453292519943295 rad on beta: -0.108; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.105; Distance: 1.573; Predicted Coordinates: (x=1.146, y=1.482)
Current Angles: 0.554, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.115, -0.017453292519943295 rad on alpha: -0.096, +0.017453292519943295 rad on beta: -0.112, -0.017453292519943295 rad on beta: -0.099; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.096; Distance: 1.556; Predicted Coordinates: (x=1.156, y=1.467)
Current Angles: 0.537, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.105, -0.017453292519943295 rad on alpha: -0.086, +0.017453292519943295 rad on beta: -0.102, -0.017453292519943295 rad on beta: -0.089; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.086; Distance: 1.539; Predicted Coordinates: (x=1.164, y=1.452)
Current Angles: 0.520, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.096, -0.017453292519943295 rad on alpha: -0.076, +0.017453292519943295 rad on beta: -0.092, -0.017453292519943295 rad on beta: -0.079; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.076; Distance: 1.521; Predicted Coordinates: (x=1.173, y=1.436)
Current Angles: 0.502, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.086, -0.017453292519943295 rad on alpha: -0.066, +0.017453292519943295 rad on beta: -0.082, -0.017453292519943295 rad on beta: -0.069; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.066; Distance: 1.504; Predicted Coordinates: (x=1.181, y=1.421)
Current Angles: 0.485, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.076, -0.017453292519943295 rad on alpha: -0.056, +0.017453292519943295 rad on beta: -0.073, -0.017453292519943295 rad on beta: -0.059; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.056; Distance: 1.486; Predicted Coordinates: (x=1.189, y=1.405)
Current Angles: 0.467, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.066, -0.017453292519943295 rad on alpha: -0.046, +0.017453292519943295 rad on beta: -0.063, -0.017453292519943295 rad on beta: -0.050; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.046; Distance: 1.469; Predicted Coordinates: (x=1.197, y=1.390)
Current Angles: 0.450, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.056, -0.017453292519943295 rad on alpha: -0.036, +0.017453292519943295 rad on beta: -0.053, -0.017453292519943295 rad on beta: -0.040; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.036; Distance: 1.452; Predicted Coordinates: (x=1.204, y=1.374)
Current Angles: 0.432, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.046, -0.017453292519943295 rad on alpha: -0.027, +0.017453292519943295 rad on beta: -0.043, -0.017453292519943295 rad on beta: -0.030; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.027; Distance: 1.434; Predicted Coordinates: (x=1.211, y=1.358)
Current Angles: 0.415, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.036, -0.017453292519943295 rad on alpha: -0.017, +0.017453292519943295 rad on beta: -0.033, -0.017453292519943295 rad on beta: -0.020; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.017; Distance: 1.417; Predicted Coordinates: (x=1.218, y=1.342)
Current Angles: 0.397, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.027, -0.017453292519943295 rad on alpha: -0.007, +0.017453292519943295 rad on beta: -0.023, -0.017453292519943295 rad on beta: -0.010; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: -0.007; Distance: 1.400; Predicted Coordinates: (x=1.225, y=1.326)
Current Angles: 0.380, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.017, -0.017453292519943295 rad on alpha: 0.003, +0.017453292519943295 rad on beta: -0.013, -0.017453292519943295 rad on beta: -0.000; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.003; Distance: 1.383; Predicted Coordinates: (x=1.231, y=1.310)
Current Angles: 0.362, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: -0.007, -0.017453292519943295 rad on alpha: 0.013, +0.017453292519943295 rad on beta: -0.004, -0.017453292519943295 rad on beta: 0.010; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.013; Distance: 1.366; Predicted Coordinates: (x=1.237, y=1.293)
Current Angles: 0.345, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.003, -0.017453292519943295 rad on alpha: 0.023, +0.017453292519943295 rad on beta: 0.006, -0.017453292519943295 rad on beta: 0.019; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.023; Distance: 1.348; Predicted Coordinates: (x=1.243, y=1.277)
Current Angles: 0.328, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.013, -0.017453292519943295 rad on alpha: 0.032, +0.017453292519943295 rad on beta: 0.016, -0.017453292519943295 rad on beta: 0.029; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.032; Distance: 1.332; Predicted Coordinates: (x=1.249, y=1.260)
Current Angles: 0.310, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.023, -0.017453292519943295 rad on alpha: 0.042, +0.017453292519943295 rad on beta: 0.026, -0.017453292519943295 rad on beta: 0.039; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.042; Distance: 1.315; Predicted Coordinates: (x=1.254, y=1.244)
Current Angles: 0.293, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.032, -0.017453292519943295 rad on alpha: 0.052, +0.017453292519943295 rad on beta: 0.036, -0.017453292519943295 rad on beta: 0.049; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.052; Distance: 1.298; Predicted Coordinates: (x=1.259, y=1.227)
Current Angles: 0.275, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.042, -0.017453292519943295 rad on alpha: 0.062, +0.017453292519943295 rad on beta: 0.045, -0.017453292519943295 rad on beta: 0.059; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.062; Distance: 1.281; Predicted Coordinates: (x=1.263, y=1.210)
Current Angles: 0.258, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.052, -0.017453292519943295 rad on alpha: 0.072, +0.017453292519943295 rad on beta: 0.055, -0.017453292519943295 rad on beta: 0.069; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.072; Distance: 1.265; Predicted Coordinates: (x=1.268, y=1.193)
Current Angles: 0.240, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.062, -0.017453292519943295 rad on alpha: 0.081, +0.017453292519943295 rad on beta: 0.065, -0.017453292519943295 rad on beta: 0.078; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.081; Distance: 1.248; Predicted Coordinates: (x=1.272, y=1.176)
Current Angles: 0.223, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.072, -0.017453292519943295 rad on alpha: 0.091, +0.017453292519943295 rad on beta: 0.074, -0.017453292519943295 rad on beta: 0.088; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.091; Distance: 1.232; Predicted Coordinates: (x=1.275, y=1.159)
